Timestamp,Level of Study,Frequency of Movement,Methods Used,Ease of Finding Locations,Had Difficulty Finding Location,Problems Experienced,Wayfinding Method,Top Features Wanted,Most Frustrating Thing,Suggested Improvement
2026-08-12 15:05:16,Level 200,2-3 times,"Walking, Campus shuttle/bus, Personal vehicle",Neutral,Yes,"Difficulty finding buildings or lecture halls, Unclear pickup points, Long waiting times for transportation, Not knowing when a shuttle/bus will arrive, Difficulty finding transportation at certain times",Google Maps,"Live shuttle locations, Estimated shuttle arrival times, Interactive campus map, Pickup-point locations, Transport fares, Shuttle/bus route information",Unclear pickup points,Knowing the time shuttles will be arriving at pickup stations
2026-08-12 15:11:46,Level 200,2-3 times,"Taxi, Ride-hailing app (Bolt/Uber/Yango)",Neutral,Yes,"Difficulty finding buildings or lecture halls, Long waiting times for transportation, Difficulty finding transportation at certain times",Google Maps,"Interactive campus map, Directions to buildings and lecture halls",Difficulty in finding the place,More interactive transportation apps
2026-08-12 15:14:15,Level 200,2-3 times,Walking,Neutral,Yes,"Difficulty finding buildings or lecture halls, Not knowing when a shuttle/bus will arrive, Other",Ask another student/person,"Live shuttle locations, Estimated shuttle arrival times, Interactive campus map, Directions to buildings and lecture halls, Pickup-point locations, Shuttle/bus route information, Delay and service notifications, Accessibility information",Sometimes I can't find the buildings I have lectures in,Building names should reflect on apps
2026-08-12 15:16:58,Level 200,2-3 times,"Walking, Taxi, Ride-hailing app",Neutral,Yes,Other,Use a ride-hailing app,"Live shuttle locations, Estimated shuttle arrival times, Interactive campus map, Directions to buildings and lecture halls, Pickup-point locations, Transport fares, Shuttle/bus route information, Delay and service notifications, Accessibility information",The prices of the taxi drivers are insane,Reduce the price for tro-tro
2026-08-12 15:22:11,Level 200,2-3 times,"Walking, Taxi, Personal vehicle",Very easy,Yes,"Difficulty finding buildings or lecture halls, Unclear pickup points, Not knowing when a shuttle/bus will arrive",Google Maps,"Live shuttle locations, Estimated shuttle arrival times, Interactive campus map, Directions to buildings and lecture halls, Pickup-point locations, Transport fares, Shuttle/bus route information, Delay and service notifications, Accessibility information",There's not enough shade from the sun if I'm walking,Clearer directions
2026-08-12 15:22:26,Postgraduate,More than 5 times,Walking,Very Difficult,No,Unclear pickup points,Use a ride-hailing app,Shuttle/bus route information,Bad roads,Free rides
2026-08-12 15:26:55,Level 300,More than 5 times,"Walking, Campus shuttle/bus",Neutral,Yes,"Difficulty finding buildings or lecture halls, Not knowing when a shuttle/bus will arrive, Confusing routes",Google Maps,"Live shuttle locations, Estimated shuttle arrival times, Interactive campus map, Directions to buildings and lecture halls, Shuttle/bus route information",The exorbitant taxi fares,I would improve the taxi fares because we are students and their prices are painful to bear
2026-08-12 15:33:57,Level 200,2-3 times,"Walking, Taxi",Easy,Yes,Other,Ask another student/person,Delay and service notifications,Distance,Prices of transportation services should be cheaper
2026-08-12 15:43:21,Level 200,4-5 times,Campus shuttle/bus,Very easy,Yes,Difficulty finding buildings or lecture halls,Google Maps,Estimated shuttle arrival times,The campus is very big so it is hard to find locations,More shuttles
2026-08-12 15:44:27,Level 200,4-5 times,"Walking, Campus shuttle/bus, Taxi",Neutral,Yes,"Difficulty finding buildings or lecture halls, Long waiting times for transportation, Not knowing when a shuttle/bus will arrive",Ask another student/person,"Live shuttle locations, Interactive campus map, Directions to buildings and lecture halls",When you don't know your way around,Taxi cost should be reduced - it's too expensive even for short distances
